Dataset,Method,N,TP,FP,TN,FN,Precision,Recall,F1,AUC
Semantic-KG GloBI (SNEA-α=0.1),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.1),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.1),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.1),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.1),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.1),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,183,29,171,17,0.863,0.915,0.888,0.937
Semantic-KG GloBI (SNEA-α=0.2),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.2),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.2),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.2),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.2),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.2),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.2),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,183,28,172,17,0.867,0.915,0.891,0.936
Semantic-KG GloBI (SNEA-α=0.4),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.4),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.4),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.4),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.4),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.4),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.4),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,182,27,173,18,0.871,0.91,0.89,0.935
Semantic-KG GloBI (SNEA-α=0.5),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.5),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.5),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.5),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.5),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.5),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.5),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,181,25,175,19,0.879,0.905,0.892,0.935
Semantic-KG GloBI (SNEA-α=0.6),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.6),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.6),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.6),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.6),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.6),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.6),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,181,25,175,19,0.879,0.905,0.892,0.935
Semantic-KG GloBI (SNEA-α=0.7),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.7),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.7),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.7),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.7),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.7),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.7),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,181,25,175,19,0.879,0.905,0.892,0.935
Semantic-KG GloBI (SNEA-α=0.8),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.8),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.8),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.8),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.8),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.8),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.8),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,181,25,175,19,0.879,0.905,0.892,0.934
Semantic-KG GloBI (SNEA-α=0.9),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.9),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.9),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.9),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.9),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.9),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.9),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,181,25,175,19,0.879,0.905,0.892,0.917
Semantic-KG GloBI (SNEA-α=1.0),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=1.0),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=1.0),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=1.0),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=1.0),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=1.0),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=1.0),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG Oregano (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,190,99,101,10,0.657,0.95,0.777,0.884
Semantic-KG Oregano (SNEA-α=0.0),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.0),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.0),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.0),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.0),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.0),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.0),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,190,83,117,10,0.696,0.95,0.803,0.892
Semantic-KG Oregano (SNEA-α=0.1),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.1),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.1),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.1),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.1),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.1),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.1),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,197,89,111,3,0.689,0.985,0.811,0.892
Semantic-KG Oregano (SNEA-α=0.2),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.2),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.2),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.2),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.2),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.2),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.2),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,194,84,116,6,0.698,0.97,0.812,0.892
Semantic-KG Oregano (SNEA-α=0.4),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.4),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.4),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.4),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.4),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.4),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.4),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,196,88,112,4,0.69,0.98,0.81,0.892
Semantic-KG Oregano (SNEA-α=0.5),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.5),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.5),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.5),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.5),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.5),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.5),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,196,87,113,4,0.693,0.98,0.812,0.892
Semantic-KG Oregano (SNEA-α=0.6),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.6),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.6),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.6),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.6),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.6),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.6),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,196,87,113,4,0.693,0.98,0.812,0.891
Semantic-KG Oregano (SNEA-α=0.7),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.7),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.7),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.7),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.7),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.7),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.7),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,196,88,112,4,0.69,0.98,0.81,0.891
Semantic-KG Oregano (SNEA-α=0.8),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.8),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.8),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.8),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.8),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.8),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.8),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,196,88,112,4,0.69,0.98,0.81,0.891
Semantic-KG Oregano (SNEA-α=0.9),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.9),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.9),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.9),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.9),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.9),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.9),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Semantic-KG Oregano (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,196,88,112,4,0.69,0.98,0.81,0.77
Semantic-KG Oregano (SNEA-α=1.0),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=1.0),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=1.0),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=1.0),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=1.0),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=1.0),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=1.0),sentence-t5-base,400,169,55,145,31,0.754,0.845,0.797,0.871
Wiki Swap (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,199,86,114,1,0.698,0.995,0.821,0.892
Wiki Swap (SNEA-α=0.0),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.0),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.0),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.0),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.0),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.0),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.0),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,198,56,144,2,0.78,0.99,0.872,0.89
Wiki Swap (SNEA-α=0.1),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.1),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.1),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.1),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.1),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.1),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.1),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,195,54,146,5,0.783,0.975,0.869,0.89
Wiki Swap (SNEA-α=0.2),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.2),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.2),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.2),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.2),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.2),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.2),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,198,58,142,2,0.773,0.99,0.868,0.89
Wiki Swap (SNEA-α=0.3),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.3),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.3),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.3),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.3),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.3),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.3),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,195,56,144,5,0.777,0.975,0.865,0.89
Wiki Swap (SNEA-α=0.4),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.4),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.4),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.4),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.4),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.4),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.4),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,198,58,142,2,0.773,0.99,0.868,0.89
Wiki Swap (SNEA-α=0.5),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.5),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.5),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.5),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.5),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.5),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.5),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,195,56,144,5,0.777,0.975,0.865,0.889
Wiki Swap (SNEA-α=0.6),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.6),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.6),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.6),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.6),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.6),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.6),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,195,56,144,5,0.777,0.975,0.865,0.889
Wiki Swap (SNEA-α=0.7),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.7),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.7),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.7),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.7),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.7),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.7),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,195,56,144,5,0.777,0.975,0.865,0.889
Wiki Swap (SNEA-α=0.8),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.8),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.8),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.8),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.8),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.8),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.8),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,195,56,144,5,0.777,0.975,0.865,0.889
Wiki Swap (SNEA-α=0.9),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=0.9),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=0.9),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=0.9),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=0.9),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=0.9),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=0.9),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
Wiki Swap (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,195,56,144,5,0.777,0.975,0.865,0.852
Wiki Swap (SNEA-α=1.0),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-α=1.0),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-α=1.0),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-α=1.0),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-α=1.0),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-α=1.0),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-α=1.0),sentence-t5-base,400,197,120,80,3,0.621,0.985,0.762,0.806
